Indonesia,bali
abadi,abadi
abang,nyama muani
abdi,parekan
abu,abu
ada,Wénten
adalah,adalah
adil,adil
agama,agama
agar,mangda
agung,melah pesan
air,yéh
ajar,ngajain
akan,lakar
akhir,pamuput
aku,Tiang
alam,alami
alat,alat
anak,raré
anda,Ragane
angkat,ngangkat
antar,antara
apa,Napi
api,api
arah,arah mejalan
asal,asalné
atas,ring
atur,set
awal,pamulaan
ayah,Bapa
badan,awak
bagi,untuk
bahagia,bagia
bahasa,Basa
baik,Becik
baju,baju rok lantang
bakar,makar
bali,Bali
bambu,bambu
bangsa,bangsa
bangun,metangi
barang,akéh barang
baru,anyar
basa,basa
batas,wates
batu,batu
bawa,ngaba
bayar,mayah
bawah,lebih éndép
beda,lén
besar,gedé
betul,punika patut
biar,depang
bijak,wicaksana
bikin,ngaé
bisa,Bise
buku,buku
bulan,bulan
bunga,bunga
bunyi,munyi
burung,kedis
adat adat istiadat,adat tradisi
adil,adil
agama,agama
agen,agén
agensi,agénsi
agung,melah pesan
air,yéh
ajar,ngajain
akan,lakar
akar,akah
akhir,pamuput
akrab,akrab
aksi,aksi
aktif,aktip
aktor,aktor
aku,TIANG
akun,akun
akurat,beneh gati
alam,alami
alamat,alamat
alat,alat
alir,aliran
Allah,Allah
aman,aman
ambil,nyemak
ambisi,ambisi
amplop,amplop
anak,raré
ancaman,anceman
Anda,Ragane
aneh,Solih
anggota,anggota
anggur,anggur
angin,angin
angka,nomer
angkasa,ruang
angkuh,sombong
anjing,kuluk
antusias,mase semangat pesan
anugerah,sih pasuecan
apa,Napi
apartemen,apartemén
apel,apel
api,api
aplikasi,aplikasi
arah,arah mejalan
arti,maksudné
artikel,artikel
asal,asalné
asam,masem
asap,asep
asin,asin
asing,sing dikenal
asyik,seru
atap,raab
atas,ring
atas,ring baduur
atau,utawi
atraksi,objek wisata
atur,ngatur
awal,pamulaan
awan,awan
ayah,Bapa
ayam,buron siap
ayun,ayunan
ayat,ayat
babi,céléng
baca,mace
badai,bakungan
bagaimana,Kénkén
bagi,untuk
bagi,anggén
bagus,Becik
bahagia,bagia
bahan,bahan
bahasa,Basa
bahaya,bahaya
bahkan,bahkan
bahu,pala
baik,Becik
baja,waja
baju,baju rok lantang
bakar,makar
baki,talam
balas,balesan
bangga,bangga
bangkit,menék
bangkrut,bangkrut
bangsa,bangsa
bangun,metangi
banjir,blabar
bank,bank
bantal,bantal
barat,kauh
barel,tong
baris,garis
baru,anyar
basah,belus
basis,dasar
bata,citakan
batas,wates
batu,batu
batuk,kokoan
bau,boné
baut,baut
bawah,lebih éndép
bawah,ring sor
bayi,raré mare lekad
bebas,bébas
bebek,bebek
bekas,lad manggo
kerja,makarya
ajar,ngajahin malajah
belanga,panci
beli,meli
benak,keneh
benang,benang
benar,Betul
benci,sing demen gati
bendera,bendera
bengkak,beseh
bengkok,bengkot
benih,benih
bentuk,bentuk
pergi,lunga
beranak,ngembasang
berani,bani
berantakan,nénten rapi
arti,teges
berat,baat
baring,merem
beda,lén
baris,garis
belok,pengkolan
bicara,nutur
bisik,bisik-bisik
bohong,Sing jujur
buru,mai énggalin
dagang,madagang
darah,getih
diri,iba
doa,pangastawa
renang,ngelangi
gairah,rasa seneng pesan
gerak,gerakan
gulung,ngulung
harga,harga
hasil,liu hasil
henti,setop
hubung,sambungan
hutang,utang
beri,ngemaang
iklan,iklan
ikut,ngikutin
berisik,uyut
istirahat,Marérén
berita,gatra
jalan,margi
kelahi,magerengan
kembang,bunga
keringat,peluh
lari,melaib
latih,ngelatih
layar,tumbuh tumbuh
beruang,nahan
untung beruntung,aget aget
besar,gedé
besi,besi
betul,saje
biarkan,ngiring
biasa,normal
biaya,béa
bibi,bibik
bibir,bibih
bicara,nutur
bidang,lapangan
bijak,wicaksana
bilah,tiuk
bilangan,nomer
binatang,buron
bingkai,bingkai
bingung,Paling
bintang,bintang
bintik,bintik-bintik
biri-biri,domba
biru,pelung
bis,bis
bisa,Bise
bisnis,bisnis
bobot,baatné
bobrok,usak
bodoh,lengeh
bola,bola
boleh,Nggih
bos,bos
botol,botol
brankas,aman
brengsek,angsuh
brutal,kasar
bruto,romon
buah,buah
buat,untuk
bubuk,bubuk
budak,budak
buka,mabuka
bukan,Ten
bukit,bukit
bukti,bukti
buku,buku
bulan,bulan
bulat,ronde
bulu,bok
bumi,gumi
bunga,bunga
buru-buru,digelis
buruk,jelé
burung,kedis
busuk,bosok
busur,busur
buta,buta
cabang,cabang
cacat,cacat
cacing,uled
cadang,cadangan
cahaya,terang
cair,cairan
cakrawala,cakrawala
cambuk,cambuk
campur,campur
campur,campur
candu,candu
canggung,kabibil
cangkang,kulit katos
cangkir,cangkir
cantik,Jegég
cara,metode
cari,ngalih
cat,ngecét
catat,catetan
celah,kasenjangan
celup,nyelebang
cemas,masa kuwatir
cemburu,iri
cepat,éncol
cerah,galang
cerdas,cerdas
cerdik,jelek
cerita,satua
cincin,cincin
cinta,Tresna
cium ciuman,cium cium
cocok,cocok
cokelat,cokelat
contoh,conto
cuaca,cuaca
cuci,ngumbah
cuci,ngumba
cukup,Cukup
cukur,nyukur
curang,nipu
dada,tangkah
daftar,daptar
daging,bé
dalam,ring
dan,Miwah
danau,danu
dangkal,dékén
dapat,bise
dapat,prasida
dapur,paon
darah,getih
dari,saking
daripada,daripada
dasar,dasar
dasi,dasi
datang,teka
datar,rata
daun,don
debu,buk
defektif,cacad
dekat,paak
deklarasi,deklarasi
demam,demam
denda,melah
dengan,sareng
dengar,ningeh
denyut,nadi
depan,bagian malu
departemen,departemén
derajat,derajat
desa,desa
deskripsi,panjelasan
destruktif,ngrusak
detail,parincian
dewasa,dewasa
di,ring
diam,menengja
banding,daya tarik
dinding,tembok
dingin,dingin
direktur,direktur
diri,iba
disiplin,disiplin
diskusi,diskusi
distrik,distrik
divisi,pahan
dokter,dokter
domba,domba
dorong,norong
dorong dorongan,dorong dorong
drama,drama
duduk,Linggihang
dunia,jagat
efek,akibatné
efisien,episien
egois,egois
ekor,ikut
eksperimen,pangalaman
ekspresi,ekspresi
ekstensif,jimbar
ekstrim,ékstrim
elastis,elastis
emas,emas
ember,émbér
empuk,alus
engkau,ragane
es,és
esensi,intiné
esok,benjang
fakta,pakta
favorit,kademenan
fesyen,gaya mebaju
film,pélem
foto,Potrékan
gadis,anak cenik luh
gagal,ten berasil
gajah,gajah
gaji,upah
gambar,gambar
gampang,aluh
ganas,ganas
ganda,dobel
gandum,gandum
garam,uyah
garasi,garasi
garis,garis
garpu,garpu
gas,gas
gaun,gaun
gelap,peteng
gelar,judul
gelanggang,arena
gelas,kaca
gembira,bagia
gemuk,mokoh
gerakan,gerakan
gerbang,pintu gerbang
gereja,gereja
gergaji,ningalin
gerobak,gerobak
gigi,gigi
gila,Buduh
gilir,mabalik
gincu,gincu
goblok,belog pesan
golok,parang
gosok,ngosok
gratis,bébas
grup,kelompok
gua,gowa
,
gumpal,benjolan
gunting,gunting
gunung,gunung
gurau,canda
guru,Guru
guruh,grédég
gurun,padang bias
guyon,canda
habis,puput
hadiah,jani
hadir,jani
hak,saje
hakim,maang nilai
hal,kaindikan
halaman,halaman
halo,Om Swastiastu
halus,melah
hampir,ampir
hancur,ngusak-asyik
handuk,anduk
hangat,anget
hanya,muah
harap,pangapti
harga,harga
hari,dina
hari,dina
hasil,liu hasil
hati,ati
haus,bedak
hening,suwung
hidung,cunguh
hidup,idup
hijau,gadang
hulu,ring hulu
hutan,alas
hutang,utang
ibu,Mémé
ikan,bé
ikut,ngikutin
ilmu,pangetahuan
ingat,inget
ini,Niki
inovasi,panemuan
insan,manusa
insiden,insiden
instalasi,pamasangan
institusi,lembaga
instruksi,patunjuk
interaksi,interaksi
internet,Internet
intip,ngintip
istri,kurenan
itu,Nika
itulah,wantah asapunika
iya,Nggih
izin,ijin
izinkan,ngijinang
jadi,Apang
jalan,margi
jam,Jam
jaman,era
jangan,De
jangka,masa
jangkau,neked
jari,jeriji
jarum,jaum
jatuh,ulung
jawab,pasaut
jawaban,pasaut
jawa,Jawa
jejak,langkah cokor
jelas,terang
jemput,nyemput
jendela,jendela
jenuh,sampun med
jenis,jenis
jeruk,juwuk
jika,Lamun
jimat,jimat
jodoh,pasangan
juga,Masi
juluk,madan
jumlah,jumlah
jumpa,pamit dumun
jurnal,jurnal
juta,yuta
jutaan,yutaan
kabut,kabut
kaca,kaca
kacak,sombong
kadar,tingkat
kafe,kafé
kaget,makesiab
kain,kain
kakak,Adi sane kelihan
kaki,batis
kalau,lamun
kalimat,kalimat
kalori,kalori
kamar,kamar
kampus,kampus
kanan,saje
kanak-kanak,raré
kantor,kantor
kapal,kapal cenik
kapas,katun
karat,karat
karena,Kerana
karier,karir
karung,tas
kasar,sing alus
kasih,tresna
kasus,kasus
kata,nutur
katakan,nutur
kategori,kategori
kayu,kayu
kebun,taman
kecil,cenik
keder,mase jejeh
keduanya,makakalih ipun
kehilangan,ilang
kejar,nguberin
kelabu,warna abu
kelahiran,embas
kelakuan,parilaku
kelam,peteng
kelapa,kelapa
kelaparan,seduk
keliling,ring genah sekitar
keluar,medal
keluh,mlungguhang
keluarga,kaluarga
kemah,tenda
kemarin,Ibi
kemauan,lakar
kemerdekaan,kemerdekaan
kembali,balik
kementerian,pelayanan
kemiskinan,kalacuran
kemudian,Terus
kena,mukul
kenangan,ingetan
kenapa,Ngudiang
kencang,tekek
kendaraan,kendaraan
kembang,bunga
kemampuan,kamampuan
kenal,uning
kepala,sirah
kepercayaan,kapercayaan
keputusan,kaputusan
kerabat,nyama braya
keras,katos
kereta,ngelatih
kering,tuh
keringat,peluh
kerja,Mekarya
kerjaan,mekarya
kerja sama,kerja sama
kertas,kertas
kerugian,karugian
kesal,gedeg
kesalahan,éror
kesempatan,peluang
kesepakatan,kasepakatan
kesibukan,kasibukan
kesukaan,kademenan
ketat,ketat
ketahui,uning
ketawa,kedék
ketinggalan,katinggal
ketua,ketua
keturunan,katurunan
kewajiban,kawajiban
kewarganegaraan,kewarganegaraan
kira,mekeneh
kiriman,pos
kita,Iraga
kitab,buku
kotor,romon
kuda,jaran
kudeta,negara
kue,jaje keik
kuil,pura
kulit,kulit
kunci,konci
kursi,korsi
kusut,kusut
kutipan,kutipan
kuasa,kakuatan
kuat,kuat
kualitas,kualitas
kuali,wadah
lampu,terang
lama,lantang
lambat,adéng
lancar,ahli pesan
laku,ring pinunas
lalu,Terus
lama-lama,sasampun sue
langsung,langsung
langit,langit
lantai,lantai
laptop,laptop
laporan,laporan
lari,melaib
larangan,pelarangan
larut,telat
latar,latar belakang
laut,pasih
layak,sané pantes
layar,layar
lebat,baat
lebih,luwih liu
lelah,kenyel
lelang,lelang
lemak,mokoh
lembar,sepréi
lembut,lembut
lengkap,pragat
lepas,mati
lesu,alon
letak,lokasiné
lewat,sané sampun liwat
liar,rengas
lihat,Ningalin
lintas,nyebrangin
lirik,lirik
lokal,lokal
lokasi,lokasiné
longgar,goloh
lucu,lucu
luka,berung
lulus,sampun mati
lumpur,lumpur
lunglai,lempeng
lurus,lurus
macam,jenis
macet,macet
madah,kidung
magnet,magnet
mahal,mael
main,meplalianan
malam,Peteng
malas,lengit
mama,meme
makanan,dedaaran
makna,maksudné
maklum,Uning ragane
makmur,makmur
malu,Lek ati
mana,dija
manis,manis
manusia,manusa
marah,gedeg
maritim,segara
masalah,masalah
masa,dina
masih,Nu
masuk,mecelep
mata,mata
matematik,matematika
mati,mati
mau,Kayun
mayoritas,ampir samian
meja,meja
mekar,mekar
melaju,nyetir
melakukan,kagaé
melalui,ngaliwatin
melawan,lawan
melihat,nyingak
melindungi,ngalindungin
melon,melon
meluncur,slaid
memakai,nganggon
membaca,mace
membawa,ngaba
memberi,ngemaang
membicarakan,baosang indik
membuka,mabuka
memilih,pilih
meminum,wedangan
memperbaiki,menahang
memperoleh,mangda ngamolihang
mempergunakan,nganggon
mempersiapkan,nyiapang
mempunyai,meduwé
menang,menang
menanyakan,metakon
mencari,rereh
mencatat,nyatet
mencintai,tresna
mendapat,polih
mendengar,ningeh
mendukung,dukungan
menemukan,ngalih
menjadi,dados dadi
menjelaskan,nyelasang
menjumpai,matepuk
menjulang,menjulang
menolak,nolak
menonton,mebalih
menyanyi,magending
menyelesaikan,pragat
menyukai,care
menyuruh,mesen
menulis,nulis
menunggu,antos
merah,barak
merasa,ngrasa
merdeka,mandiri
merokok,asep
mesin,mesin
metode,metode
mi,mie
mimpi,impian
minat,minat
minum,wedangan
mirip,mesib
misal,conto
modal,hurup kapital
modern,modéren
mohon,tulung
moksa,moksa
mulai,nyumunin
mulut,mulut
murah,mudah
musim,musim
musik,musik
mustahil,ten mungkin
mutu,kualitas
namun,Sakéwala
nasi,baas
nama,Adan
nanti,Nyanan
nantinya,nyanan
nasib,takdir
nasional,nasional
negara,negara
nego,mabligbagan
neraka,naraka
netral,nétral
nilai,tanda
nilai-nilai,nilai
nila,indigo
nomor,nomer
normal,normal
nyala,ring
nyata,sajaan
nyeri,nyakitin
obat,narkoba
objek,kaberatan
obyek,kaberatan
orang,jlema
orang tua,rerama
oranye,juwuk
organisasi,organisasi
pakai,nganggon
paksa,kakuatan
palu,palu
panas,kebus
pandai,pinter
pandangan,pandangan
panjang,lantang
pantai,panté
pantun,pantun
papar,nunjukang
para,untuk
parah,penting gati
parit,ngutang
pasar,peken
pasien,sabar
pasti,Pasti
patah,usak
patah hati,pegat manah
patri,patri
payung,pajeng
pedagang,dagang
peduli,miara
pekerja,buruh
pelajar,sisia
pelajari,malajahin
pelan,adéng
pelanggan,palanggan
peluang,kasempatan
peluru,peluru
pemain,pamuter
pengetahuan,pangetahuan
pendapatan,pamasukan
penduduk,warga
pendukung,panunjang
penemuan,penemuan
penerbangan,megedi
pengalaman,pangalaman
pengaruh,pengaruh
penghargaan,pangargaan
pengusaha,pengusaha
peninggalan,paninggalan
penolong,panulung
penting,penting
penulis,pangawi
perahu,kapal cenik
perang,perang
peringatan,paringatan keras
periode,titik
perkembangan,perkembangan
perkiraan,estimasi
perjalanan,parjalanan
perlahan,adéng-adéng
perlu,perlu
permukaan,permukaan
pernah,Acepok
perpustakaan,perpustakaan
persaingan,macéntok
persetujuan,kasepakatan
pertanyaan,pitaken
perusahaan,parusahaan
perut,basang
pesan,pesen
pesawat,pesawat terbang
petani,petani
petugas,petugas
pihak,pesta
piala,cangkir
pikir,mekeneh
pikirkan,mekeneh
pilih,pilih
pilihan,pilian
pintu,kori
piring,piring
pisau,tiyuk
politik,politik
polisi,pulisi
pompa,pompa
pontang-panting,malaib-laiban
populer,terkenal
posisi,posisi
potong,motong
praktik,latian
praktis,praktis
presiden,présiden
produk,produk
profesi,karya
program,program
proses,proses
protes,protes
publik,anak liu
pukul,jam
pulsa,kredit
puncak,puncak
puncak gunung,muncuk gununge
pundak,bahu
pungut,nyemput
pura-pura,nyaruang
pusat,pusat
putih,putih
putus,kapasahang
rakyat,jlema
ramah,ajer
ramai,ramé gati
rambu,cihna
rancangan,rancangan
rasa,rasa
rasanya,rasane sekadi
rata,rata
rawat,ati-ati
rayap,rayap
resep,resep
resmi,resmi
restoran,umah makan
ruang,kamar
ruas,bagian
rugi,ngawinang rugi
rumah,Umah
rumah sakit,umah sakit
rumput,rumput
rute,rute
sadar,sadar
saham,bagi
sakit,Gelem
salah,Pelih
saling,saling
sambung,nerusang
sampah,mis
sangat,gati
kata,nutur
sama,Pateh
samar,sing jelas
sambil,sambilanga
sampai,kanti
samping,sisin
sampul,nutupin
sanak,nyama braya
santai,Tenang
saran,saran
sawah,tegal padi
saya,TIANG
sebab,kerana
sebelum,sebelum
sebuah,ASIKI
sebut,manggil
sekarang,Jani
seksi,seksi
selalu,terus
selatan,kaja
selesai,suwud
semakin,sayan akéh
semangat,Semangat
sendiri,Padidian
sentuh,nyolek
seperti,care
serang,serangan
serius,Serius
serta,né masi
sesuai,manut
sesudah,usan
setahun,awarsa
setiap,sabilang
setuju,setuju
setujuan,kasepakatan
sewaktu,pidan
siang,Sanja
sifat,ceciren
sihir,tenung
sikat,sikat
sila,tulung
silakan,tulung
sinar,sinar
singkat,éndép
siapa,Sira
sisi,sisin
sistem,sistem
situs,genah
soal,pitaken
soalnya,kerana
sosial,sosial
sudah,Sampun
suka,Care
suka-suka,ngantos
suku,kelompok etnis
sulit,kéweh
sumbang,nénten manut
sungai,tukad
sunting,ngédit
suntingan,édit
supaya,mangda
surat,surat
surga,swargan
suruh,mesen
susah,kéweh
suasana,suasana
sumber,sumber
sumur,Becik
suara,munyi
keterangan,inpormasi
faedah,ngawigunayang
gagal,ten berasil
gaji,upah
gali,congcong
gambar,gambar
gantung,gantung
gas,gas
gedung,gedung
gelar,judul
gembira,bagia
gempa,gempa bumi
guna,nganggon
gurih,jaen pesan
hadap,ngadep
hafal,ngapal
harga,harga
harum,wangi
hati,ati
hibur,ngibur
hijau,gadang
hilang,ilang
hitung,ngitung
hutan,alas
ibadah,mamuja
ikat,dasi
ikhlas,tulus
ikuti,ngikutin
ilmu,pangetahuan
indah,jegég
isi,Daging
istirahat,Marérén
ikut,ngikutin
jalan,margi
jam,Jam 12
jamin,nyamin
jatuh,ulung
jernih,terang
jelas,terang
jelas,terang
jenuh,sampun med
jernih,terang
jujur,Jujur
juru,juru basa
kabar,gatra
kasih,tresna
kata,nutur
kaya,sugih
kecil,cenik
kerja,Mekarya
kasih,resna
kota,kota
kuat,kuat
kuasai,ahli
kerja,Mekarya
kaya,sugih
kering,tuh
kunci,konci
kuning,kuning
kupas,melut
kumpul,ngumpulin
kunjung,nengokin
kupu,kupu-kupu
khusus,kusus
kira,mekeneh
kembali,balik
kerja,Mekarya
kendali,kontrol
kenal,uning
kena,mukul
kenyang,bek
kesal,gedeg
ketat,ketat
dia,dane
kamu,Ragane
sayang,Ané kesayangang
mereka,dane makejang
kita,Iraga
kami,iraga
sana,derika
sini,deriki
situ,derika
pendek,éndép
panjang,lantang
atas,ring
bawah,lebih éndép
depan,bagian malu
belakang,ring duri
kanan,saje
kiri,lunga
samping,sisin
lain,sané lianan
takut,Takut
gembira,bagia
senang,care
sedih,sedih
marah,gedeg
sakit,Gelem
sehat,Seger
bagus,Becik
jelek,Jelé
kotor,romon
bersih,kedas
mati,mati
hidup,idup
kemarin,Ibi
tadi,sabelumné
pagi,Semeng
siang,Sanja
sore,sanja
malam,Peteng
tidak,Ten
siapa,Sira
bagaimana,Kénkén
mengapa,Ngudiang
karena,Kerana
kapan,Pidan
betul,punika patut
buat,untuk
